gpu,kernel,tag,M,N,K,iters,ms_med,ms_p99,tflops,vs_sgemm_pct,vs_tf32_pct,max_abs_err
NVIDIA A100 80GB PCIe,cublas_sgemm,sq256,256,256,256,50,0.0156,0.0171,2.15,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq256,256,256,256,50,0.0132,0.0141,2.53,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq256,256,256,256,50,0.0795,0.0797,0.42,19.6,16.7,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq512,512,512,512,50,0.0313,0.0324,8.58,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq512,512,512,512,50,0.0143,0.0151,18.81,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq512,512,512,512,50,0.1397,0.1401,1.92,22.4,10.2,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq1024,1024,1024,1024,50,0.1323,0.1340,16.23,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq1024,1024,1024,1024,50,0.0364,0.0428,58.92,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq1024,1024,1024,1024,50,0.2692,0.2705,7.98,49.1,13.5,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq2048,2048,2048,2048,50,0.9770,0.9837,17.58,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq2048,2048,2048,2048,50,0.1757,0.1778,97.77,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq2048,2048,2048,2048,50,1.6379,1.6431,10.49,59.7,10.7,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq4096,4096,4096,4096,50,7.3042,7.3848,18.82,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq4096,4096,4096,4096,50,1.2188,1.2360,112.77,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq4096,4096,4096,4096,50,10.6115,10.6248,12.95,68.8,11.5,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq8192,8192,8192,8192,50,57.3281,57.3908,19.18,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq8192,8192,8192,8192,50,9.2052,9.3314,119.45,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq8192,8192,8192,8192,50,79.6888,79.7088,13.80,71.9,11.6,
NVIDIA A100 80GB PCIe,cublas_sgemm,qkv_proj,16384,1152,384,50,0.7981,0.8040,18.16,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,qkv_proj,16384,1152,384,50,0.1621,0.1675,89.40,,100.0,0
NVIDIA A100 80GB PCIe,v1,qkv_proj,16384,1152,384,50,1.3106,1.3177,11.06,60.9,12.4,
NVIDIA A100 80GB PCIe,cublas_sgemm,ffn_up,16384,1536,384,50,1.0479,1.0580,18.44,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,ffn_up,16384,1536,384,50,0.2014,0.2038,95.98,,100.0,0
NVIDIA A100 80GB PCIe,v1,ffn_up,16384,1536,384,50,1.7305,1.7441,11.17,60.6,11.6,
NVIDIA A100 80GB PCIe,cublas_sgemm,ffn_down,16384,384,1536,50,1.1112,1.1676,17.39,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,ffn_down,16384,384,1536,50,0.1878,0.1911,102.93,,100.0,0
NVIDIA A100 80GB PCIe,v1,ffn_down,16384,384,1536,50,1.6896,1.7133,11.44,65.8,11.1,
NVIDIA A100 80GB PCIe,cublas_sgemm,vocab_head,16384,65,384,50,0.0912,0.0971,8.97,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,vocab_head,16384,65,384,50,0.0552,0.0570,14.81,,100.0,0
NVIDIA A100 80GB PCIe,v1,vocab_head,16384,65,384,50,0.1999,0.2022,4.09,45.6,27.6,
NVIDIA A100 80GB PCIe,cublas_sgemm,big_ffn,8192,4096,1024,50,3.6103,3.6262,19.03,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,big_ffn,8192,4096,1024,50,0.5965,0.6486,115.20,,100.0,0
NVIDIA A100 80GB PCIe,v1,big_ffn,8192,4096,1024,50,5.2304,5.2672,13.14,69.0,11.4,
NVIDIA A100 80GB PCIe,cublas_sgemm,tall,16384,256,256,50,0.1323,0.1337,16.24,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,tall,16384,256,256,50,0.0460,0.0471,46.64,,100.0,0
NVIDIA A100 80GB PCIe,v1,tall,16384,256,256,50,0.2761,0.2820,7.78,47.9,16.7,
NVIDIA A100 80GB PCIe,cublas_sgemm,wide,256,16384,256,50,0.1319,0.1335,16.28,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,wide,256,16384,256,50,0.0396,0.0408,54.21,,100.0,0
NVIDIA A100 80GB PCIe,v1,wide,256,16384,256,50,0.2697,0.2789,7.96,48.9,14.7,
NVIDIA A100 80GB PCIe,cublas_sgemm,tiny_M,128,4096,4096,50,0.2582,0.2615,16.63,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,tiny_M,128,4096,4096,50,0.0692,0.0700,62.05,,100.0,0
NVIDIA A100 80GB PCIe,v1,tiny_M,128,4096,4096,50,1.0671,1.0693,4.03,24.2,6.5,
